INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%
Textiles,1,2004,UTILISATION,80.5
Textiles,2,2004,UTILISATION,81.9
Textiles,3,2004,UTILISATION,82.2
Textiles,4,2004,UTILISATION,78.0
Textiles,1,2005,UTILISATION,78.7
Textiles,2,2005,UTILISATION,81.1
Textiles,3,2005,UTILISATION,82.2
Textiles,4,2005,UTILISATION,86.8
Textiles,1,2006,UTILISATION,84.6
Textiles,2,2006,UTILISATION,85.6
Textiles,3,2006,UTILISATION,86.4
Textiles,4,2006,UTILISATION,86.3
Textiles,1,2007,UTILISATION,83.9
Textiles,2,2007,UTILISATION,83.5
Textiles,3,2007,UTILISATION,83.9
Textiles,4,2007,UTILISATION,83.8
Textiles,1,2008,UTILISATION,81.3
Textiles,2,2008,UTILISATION,79.6
Textiles,3,2008,UTILISATION,80.8
Textiles,4,2008,UTILISATION,81.2
Textiles,1,2009,UTILISATION,74.2
Textiles,2,2009,UTILISATION,72.2
Textiles,3,2009,UTILISATION,67.4
Textiles,4,2009,UTILISATION,72.2
Textiles,1,2010,UTILISATION,71.3
Textiles,2,2010,UTILISATION,73.3
Textiles,3,2010,UTILISATION,70.8
Textiles,4,2010,UTILISATION,72.1
Textiles,1,2011,UTILISATION,72.1
Textiles,2,2011,UTILISATION,69.7
Textiles,3,2011,UTILISATION,69.7
Textiles,4,2011,UTILISATION,71.2
Textiles,1,2012,UTILISATION,71.8
Textiles,2,2012,UTILISATION,69.7
Textiles,3,2012,UTILISATION,70.4
Textiles,4,2012,UTILISATION,72.7
Textiles,1,2013,UTILISATION,71.2
Textiles,2,2013,UTILISATION,69.3
Textiles,3,2013,UTILISATION,71.7
Textiles,4,2013,UTILISATION,73.9
Textiles,1,2014,UTILISATION,69.1
Textiles,2,2014,UTILISATION,69.1
Textiles,3,2014,UTILISATION,68.8
Textiles,4,2014,UTILISATION,73.0
Textiles,1,2015,UTILISATION,71.8
Textiles,2,2015,UTILISATION,69.6
Textiles,3,2015,UTILISATION,70.7
Textiles,4,2015,UTILISATION,70.8
Textiles,1,2016,UTILISATION,69.8
Textiles,2,2016,UTILISATION,68.0
Textiles,3,2016,UTILISATION,68.2
Textiles,4,2016,UTILISATION,69.5
Textiles,1,2017,UTILISATION,66.0
Textiles,2,2017,UTILISATION,65.7
Textiles,3,2017,UTILISATION,65.2
Textiles,4,2017,UTILISATION,66.6
Textiles,1,2018,UTILISATION,65.4
Textiles,2,2018,UTILISATION,66.0
Textiles,3,2018,UTILISATION,66.4
Textiles,4,2018,UTILISATION,68.5
Textiles,1,2019,UTILISATION,67.7
Textiles,2,2019,UTILISATION,66.1
Textiles,3,2019,UTILISATION,66.1
Textiles,4,2019,UTILISATION,66.7
Textiles,1,2020,UTILISATION,66.0
Textiles,2,2020,UTILISATION,55.0
Textiles,3,2020,UTILISATION,54.5
Textiles,4,2020,UTILISATION,66.0
Textiles,1,2021,UTILISATION,65.3
Textiles,2,2021,UTILISATION,67.3
Textiles,3,2021,UTILISATION,66.3
Textiles,4,2021,UTILISATION,65.7
Wearing apparel,4,2003,UTILISATION,90.7
Wearing apparel,1,2004,UTILISATION,91.6
Wearing apparel,2,2004,UTILISATION,91.7
Wearing apparel,3,2004,UTILISATION,94.0
Wearing apparel,4,2004,UTILISATION,92.9
Wearing apparel,1,2005,UTILISATION,83.1
Wearing apparel,2,2005,UTILISATION,80.8
Wearing apparel,3,2005,UTILISATION,81.8
Wearing apparel,4,2005,UTILISATION,84.5
Wearing apparel,1,2006,UTILISATION,80.5
Wearing apparel,2,2006,UTILISATION,83.0
Wearing apparel,3,2006,UTILISATION,84.1
Wearing apparel,4,2006,UTILISATION,86.9
Wearing apparel,1,2007,UTILISATION,83.1
Wearing apparel,2,2007,UTILISATION,81.3
Wearing apparel,3,2007,UTILISATION,83.4
Wearing apparel,4,2007,UTILISATION,84.9
Wearing apparel,1,2008,UTILISATION,83.2
Wearing apparel,2,2008,UTILISATION,83.2
Wearing apparel,3,2008,UTILISATION,82.7
Wearing apparel,4,2008,UTILISATION,81.3
Wearing apparel,1,2009,UTILISATION,80.3
Wearing apparel,2,2009,UTILISATION,80.4
Wearing apparel,3,2009,UTILISATION,78.7
Wearing apparel,4,2009,UTILISATION,80.2
Wearing apparel,1,2010,UTILISATION,76.0
Wearing apparel,2,2010,UTILISATION,76.4
Wearing apparel,3,2010,UTILISATION,76.7
Wearing apparel,4,2010,UTILISATION,79.3
Wearing apparel,1,2011,UTILISATION,76.7
Wearing apparel,2,2011,UTILISATION,79.7
Wearing apparel,3,2011,UTILISATION,77.2
Wearing apparel,4,2011,UTILISATION,80.9
Wearing apparel,1,2012,UTILISATION,77.5
Wearing apparel,2,2012,UTILISATION,77.3
Wearing apparel,3,2012,UTILISATION,80.8
Wearing apparel,4,2012,UTILISATION,86.0
Wearing apparel,1,2013,UTILISATION,80.9
Wearing apparel,2,2013,UTILISATION,81.6
Wearing apparel,3,2013,UTILISATION,80.4
Wearing apparel,4,2013,UTILISATION,81.7
Wearing apparel,1,2014,UTILISATION,80.0
Wearing apparel,2,2014,UTILISATION,77.6
Wearing apparel,3,2014,UTILISATION,79.1
Wearing apparel,4,2014,UTILISATION,80.5
Wearing apparel,1,2015,UTILISATION,79.4
Wearing apparel,2,2015,UTILISATION,78.9
Wearing apparel,3,2015,UTILISATION,78.9
Wearing apparel,4,2015,UTILISATION,79.3
Wearing apparel,1,2016,UTILISATION,78.3
Wearing apparel,2,2016,UTILISATION,77.0
Wearing apparel,3,2016,UTILISATION,77.0
Wearing apparel,4,2016,UTILISATION,76.9
Wearing apparel,1,2017,UTILISATION,75.8
Wearing apparel,2,2017,UTILISATION,75.1
Wearing apparel,3,2017,UTILISATION,74.8
Wearing apparel,4,2017,UTILISATION,75.7
Wearing apparel,1,2018,UTILISATION,75.6
Wearing apparel,2,2018,UTILISATION,74.8
Wearing apparel,3,2018,UTILISATION,74.6
Wearing apparel,4,2018,UTILISATION,74.9
Wearing apparel,1,2019,UTILISATION,75.8
Wearing apparel,2,2019,UTILISATION,75.1
Wearing apparel,3,2019,UTILISATION,74.8
Wearing apparel,4,2019,UTILISATION,75.3
Wearing apparel,1,2020,UTILISATION,75.2
Wearing apparel,2,2020,UTILISATION,31.8
Wearing apparel,3,2020,UTILISATION,56.9
Wearing apparel,4,2020,UTILISATION,73.8
Wearing apparel,1,2021,UTILISATION,73.5
Wearing apparel,2,2021,UTILISATION,72.4
Wearing apparel,3,2021,UTILISATION,71.5
Wearing apparel,4,2021,UTILISATION,72.9
Leather,4,2003,UTILISATION,87.0
Leather,1,2004,UTILISATION,84.7
Leather,2,2004,UTILISATION,80.7
Leather,3,2004,UTILISATION,82.1
Leather,4,2004,UTILISATION,82.6
Leather,1,2005,UTILISATION,75.4
Leather,2,2005,UTILISATION,80.4
Leather,3,2005,UTILISATION,80.0
Leather,4,2005,UTILISATION,81.8
Leather,1,2006,UTILISATION,81.6
Leather,2,2006,UTILISATION,77.6
Leather,3,2006,UTILISATION,72.5
Leather,4,2006,UTILISATION,85.3
Leather,1,2007,UTILISATION,80.3
Leather,2,2007,UTILISATION,74.3
Leather,3,2007,UTILISATION,75.8
Leather,4,2007,UTILISATION,77.2
Leather,1,2008,UTILISATION,78.5
Leather,2,2008,UTILISATION,80.2
Leather,3,2008,UTILISATION,77.8
Leather,4,2008,UTILISATION,73.3
Leather,1,2009,UTILISATION,70.4
Leather,2,2009,UTILISATION,68.8
Leather,3,2009,UTILISATION,71.3
Leather,4,2009,UTILISATION,72.0
Leather,1,2010,UTILISATION,72.8
Leather,2,2010,UTILISATION,77.5
Leather,3,2010,UTILISATION,66.7
Leather,4,2010,UTILISATION,76.7
Leather,1,2011,UTILISATION,76.5
Leather,2,2011,UTILISATION,71.6
Leather,3,2011,UTILISATION,64.0
