INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%
Non-metallic mineral products,3,2005,UTILISATION,89.3
Non-metallic mineral products,4,2005,UTILISATION,90.7
Non-metallic mineral products,1,2006,UTILISATION,83.6
Non-metallic mineral products,2,2006,UTILISATION,87.3
Non-metallic mineral products,3,2006,UTILISATION,87.0
Non-metallic mineral products,4,2006,UTILISATION,90.3
Non-metallic mineral products,1,2007,UTILISATION,86.8
Non-metallic mineral products,2,2007,UTILISATION,89.0
Non-metallic mineral products,3,2007,UTILISATION,87.4
Non-metallic mineral products,4,2007,UTILISATION,87.3
Non-metallic mineral products,1,2008,UTILISATION,86.3
Non-metallic mineral products,2,2008,UTILISATION,84.9
Non-metallic mineral products,3,2008,UTILISATION,86.4
Non-metallic mineral products,4,2008,UTILISATION,84.5
Non-metallic mineral products,1,2009,UTILISATION,79.5
Non-metallic mineral products,2,2009,UTILISATION,82.8
Non-metallic mineral products,3,2009,UTILISATION,78.3
Non-metallic mineral products,4,2009,UTILISATION,79.7
Non-metallic mineral products,1,2010,UTILISATION,76.6
Non-metallic mineral products,2,2010,UTILISATION,77.6
Non-metallic mineral products,3,2010,UTILISATION,75.6
Non-metallic mineral products,4,2010,UTILISATION,76.9
Non-metallic mineral products,1,2011,UTILISATION,73.7
Non-metallic mineral products,2,2011,UTILISATION,77.1
Non-metallic mineral products,3,2011,UTILISATION,78.0
Non-metallic mineral products,4,2011,UTILISATION,77.8
Non-metallic mineral products,1,2012,UTILISATION,74.6
Non-metallic mineral products,2,2012,UTILISATION,77.2
Non-metallic mineral products,3,2012,UTILISATION,74.1
Non-metallic mineral products,4,2012,UTILISATION,77.8
Non-metallic mineral products,1,2013,UTILISATION,74.0
Non-metallic mineral products,2,2013,UTILISATION,78.0
Non-metallic mineral products,3,2013,UTILISATION,82.1
Non-metallic mineral products,4,2013,UTILISATION,81.2
Non-metallic mineral products,1,2014,UTILISATION,79.4
Non-metallic mineral products,2,2014,UTILISATION,81.3
Non-metallic mineral products,3,2014,UTILISATION,78.6
Non-metallic mineral products,4,2014,UTILISATION,80.7
Non-metallic mineral products,1,2015,UTILISATION,76.2
Non-metallic mineral products,2,2015,UTILISATION,78.0
Non-metallic mineral products,3,2015,UTILISATION,79.8
Non-metallic mineral products,4,2015,UTILISATION,85.1
Non-metallic mineral products,1,2016,UTILISATION,80.3
Non-metallic mineral products,2,2016,UTILISATION,80.5
Non-metallic mineral products,3,2016,UTILISATION,80.6
Non-metallic mineral products,4,2016,UTILISATION,83.4
Non-metallic mineral products,1,2017,UTILISATION,79.0
Non-metallic mineral products,2,2017,UTILISATION,81.1
Non-metallic mineral products,3,2017,UTILISATION,80.3
Non-metallic mineral products,4,2017,UTILISATION,80.7
Non-metallic mineral products,1,2018,UTILISATION,79.9
Non-metallic mineral products,2,2018,UTILISATION,79.3
Non-metallic mineral products,3,2018,UTILISATION,81.0
Non-metallic mineral products,4,2018,UTILISATION,81.2
Non-metallic mineral products,1,2019,UTILISATION,76.0
Non-metallic mineral products,2,2019,UTILISATION,75.6
Non-metallic mineral products,3,2019,UTILISATION,73.0
Non-metallic mineral products,4,2019,UTILISATION,75.9
Non-metallic mineral products,1,2020,UTILISATION,72.3
Non-metallic mineral products,2,2020,UTILISATION,42.0
Non-metallic mineral products,3,2020,UTILISATION,67.8
Non-metallic mineral products,4,2020,UTILISATION,75.7
Non-metallic mineral products,1,2021,UTILISATION,69.9
Non-metallic mineral products,2,2021,UTILISATION,75.1
Non-metallic mineral products,3,2021,UTILISATION,77.1
Non-metallic mineral products,4,2021,UTILISATION,75.5
Basic iron and steel products,4,2003,UTILISATION,88.5
Basic iron and steel products,1,2004,UTILISATION,87.0
Basic iron and steel products,2,2004,UTILISATION,87.3
Basic iron and steel products,3,2004,UTILISATION,94.8
Basic iron and steel products,4,2004,UTILISATION,92.4
Basic iron and steel products,1,2005,UTILISATION,91.9
Basic iron and steel products,2,2005,UTILISATION,91.9
Basic iron and steel products,3,2005,UTILISATION,87.5
Basic iron and steel products,4,2005,UTILISATION,90.2
Basic iron and steel products,1,2006,UTILISATION,85.8
Basic iron and steel products,2,2006,UTILISATION,83.5
Basic iron and steel products,3,2006,UTILISATION,85.7
Basic iron and steel products,4,2006,UTILISATION,87.1
Basic iron and steel products,1,2007,UTILISATION,84.0
Basic iron and steel products,2,2007,UTILISATION,85.3
Basic iron and steel products,3,2007,UTILISATION,81.0
Basic iron and steel products,4,2007,UTILISATION,83.5
Basic iron and steel products,1,2008,UTILISATION,79.3
Basic iron and steel products,2,2008,UTILISATION,81.5
Basic iron and steel products,3,2008,UTILISATION,81.8
Basic iron and steel products,4,2008,UTILISATION,63.3
Basic iron and steel products,1,2009,UTILISATION,52.4
Basic iron and steel products,2,2009,UTILISATION,64.7
Basic iron and steel products,3,2009,UTILISATION,74.7
Basic iron and steel products,4,2009,UTILISATION,72.9
Basic iron and steel products,1,2010,UTILISATION,79.5
Basic iron and steel products,2,2010,UTILISATION,82.0
Basic iron and steel products,3,2010,UTILISATION,75.7
Basic iron and steel products,4,2010,UTILISATION,76.8
Basic iron and steel products,1,2011,UTILISATION,78.3
Basic iron and steel products,2,2011,UTILISATION,83.3
Basic iron and steel products,3,2011,UTILISATION,61.2
Basic iron and steel products,4,2011,UTILISATION,70.5
Basic iron and steel products,1,2012,UTILISATION,76.8
Basic iron and steel products,2,2012,UTILISATION,76.5
Basic iron and steel products,3,2012,UTILISATION,71.9
Basic iron and steel products,4,2012,UTILISATION,76.6
Basic iron and steel products,1,2013,UTILISATION,71.8
Basic iron and steel products,2,2013,UTILISATION,81.2
Basic iron and steel products,3,2013,UTILISATION,72.6
Basic iron and steel products,4,2013,UTILISATION,77.6
Basic iron and steel products,1,2014,UTILISATION,77.7
Basic iron and steel products,2,2014,UTILISATION,77.8
Basic iron and steel products,3,2014,UTILISATION,76.2
Basic iron and steel products,4,2014,UTILISATION,75.3
Basic iron and steel products,1,2015,UTILISATION,78.8
Basic iron and steel products,2,2015,UTILISATION,75.6
Basic iron and steel products,3,2015,UTILISATION,70.0
Basic iron and steel products,4,2015,UTILISATION,73.1
Basic iron and steel products,1,2016,UTILISATION,75.7
Basic iron and steel products,2,2016,UTILISATION,77.4
Basic iron and steel products,3,2016,UTILISATION,73.3
Basic iron and steel products,4,2016,UTILISATION,80.0
Basic iron and steel products,1,2017,UTILISATION,76.8
Basic iron and steel products,2,2017,UTILISATION,78.0
Basic iron and steel products,3,2017,UTILISATION,74.4
Basic iron and steel products,4,2017,UTILISATION,79.0
Basic iron and steel products,1,2018,UTILISATION,74.7
Basic iron and steel products,2,2018,UTILISATION,76.3
Basic iron and steel products,3,2018,UTILISATION,75.3
Basic iron and steel products,4,2018,UTILISATION,78.1
Basic iron and steel products,1,2019,UTILISATION,77.9
Basic iron and steel products,2,2019,UTILISATION,76.6
Basic iron and steel products,3,2019,UTILISATION,69.4
Basic iron and steel products,4,2019,UTILISATION,69.0
Basic iron and steel products,1,2020,UTILISATION,65.6
Basic iron and steel products,2,2020,UTILISATION,40.1
Basic iron and steel products,3,2020,UTILISATION,49.9
Basic iron and steel products,4,2020,UTILISATION,61.2
Basic iron and steel products,1,2021,UTILISATION,69.5
Basic iron and steel products,2,2021,UTILISATION,75.6
Basic iron and steel products,3,2021,UTILISATION,71.7
Basic iron and steel products,4,2021,UTILISATION,78.5
Basic precious and non-ferrous metal products,4,2003,UTILISATION,89.1
Basic precious and non-ferrous metal products,1,2004,UTILISATION,87.6
Basic precious and non-ferrous metal products,2,2004,UTILISATION,92.9
Basic precious and non-ferrous metal products,3,2004,UTILISATION,93.3
Basic precious and non-ferrous metal products,4,2004,UTILISATION,95.2
Basic precious and non-ferrous metal products,1,2005,UTILISATION,95.2
Basic precious and non-ferrous metal products,2,2005,UTILISATION,92.3
Basic precious and non-ferrous metal products,3,2005,UTILISATION,93.9
Basic precious and non-ferrous metal products,4,2005,UTILISATION,94.3
Basic precious and non-ferrous metal products,1,2006,UTILISATION,93.2
Basic precious and non-ferrous metal products,2,2006,UTILISATION,94.3
Basic precious and non-ferrous metal products,3,2006,UTILISATION,92.4
Basic precious and non-ferrous metal products,4,2006,UTILISATION,92.6
Basic precious and non-ferrous metal products,1,2007,UTILISATION,92.4
Basic precious and non-ferrous metal products,2,2007,UTILISATION,93.8
Basic precious and non-ferrous metal products,3,2007,UTILISATION,93.6
Basic precious and non-ferrous metal products,4,2007,UTILISATION,94.2
Basic precious and non-ferrous metal products,1,2008,UTILISATION,91.2
Basic precious and non-ferrous metal products,2,2008,UTILISATION,89.9
Basic precious and non-ferrous metal products,3,2008,UTILISATION,87.7
Basic precious and non-ferrous metal products,4,2008,UTILISATION,82.8
Basic precious and non-ferrous metal products,1,2009,UTILISATION,80.8
Basic precious and non-ferrous metal products,2,2009,UTILISATION,81.8
Basic precious and non-ferrous metal products,3,2009,UTILISATION,81.2
Basic precious and non-ferrous metal products,4,2009,UTILISATION,83.2
Basic precious and non-ferrous metal products,1,2010,UTILISATION,83.9
Basic precious and non-ferrous metal products,2,2010,UTILISATION,84.6
Basic precious and non-ferrous metal products,3,2010,UTILISATION,83.3
Basic precious and non-ferrous metal products,4,2010,UTILISATION,85.6
Basic precious and non-ferrous metal products,1,2011,UTILISATION,80.2
Basic precious and non-ferrous metal products,2,2011,UTILISATION,83.0
Basic precious and non-ferrous metal products,3,2011,UTILISATION,82.2
Basic precious and non-ferrous metal products,4,2011,UTILISATION,81.8
Basic precious and non-ferrous metal products,1,2012,UTILISATION,76.7
Basic precious and non-ferrous metal products,2,2012,UTILISATION,67.7
Basic precious and non-ferrous metal products,3,2012,UTILISATION,77.8
Basic precious and non-ferrous metal products,4,2012,UTILISATION,81.3
Basic precious and non-ferrous metal products,1,2013,UTILISATION,81.4
Basic precious and non-ferrous metal products,2,2013,UTILISATION,81.1
Basic precious and non-ferrous metal products,3,2013,UTILISATION,81.0
Basic precious and non-ferrous metal products,4,2013,UTILISATION,81.4
Basic precious and non-ferrous metal products,1,2014,UTILISATION,83.5
Basic precious and non-ferrous metal products,2,2014,UTILISATION,80.8
Basic precious and non-ferrous metal products,3,2014,UTILISATION,80.0
Basic precious and non-ferrous metal products,4,2014,UTILISATION,80.1
Basic precious and non-ferrous metal products,1,2015,UTILISATION,78.8
Basic precious and non-ferrous metal products,2,2015,UTILISATION,77.8
Basic precious and non-ferrous metal products,3,2015,UTILISATION,72.3
Basic precious and non-ferrous metal products,4,2015,UTILISATION,74.1
Basic precious and non-ferrous metal products,1,2016,UTILISATION,78.2
Basic precious and non-ferrous metal products,2,2016,UTILISATION,76.4
Basic precious and non-ferrous metal products,3,2016,UTILISATION,78.8
Basic precious and non-ferrous metal products,4,2016,UTILISATION,78.9
Basic precious and non-ferrous metal products,1,2017,UTILISATION,76.5
Basic precious and non-ferrous metal products,2,2017,UTILISATION,78.3
Basic precious and non-ferrous metal products,3,2017,UTILISATION,79.0
Basic precious and non-ferrous metal products,4,2017,UTILISATION,79.9
Basic precious and non-ferrous metal products,1,2018,UTILISATION,77.8
Basic precious and non-ferrous metal products,2,2018,UTILISATION,80.3
Basic precious and non-ferrous metal products,3,2018,UTILISATION,81.3
Basic precious and non-ferrous metal products,4,2018,UTILISATION,80.9
Basic precious and non-ferrous metal products,1,2019,UTILISATION,77.8
Basic precious and non-ferrous metal products,2,2019,UTILISATION,80.5
Basic precious and non-ferrous metal products,3,2019,UTILISATION,76.2
Basic precious and non-ferrous metal products,4,2019,UTILISATION,76.9
Basic precious and non-ferrous metal products,1,2020,UTILISATION,77.6
Basic precious and non-ferrous metal products,2,2020,UTILISATION,55.2
Basic precious and non-ferrous metal products,3,2020,UTILISATION,67.1
Basic precious and non-ferrous metal products,4,2020,UTILISATION,70.9
Basic precious and non-ferrous metal products,1,2021,UTILISATION,72.2
Basic precious and non-ferrous metal products,2,2021,UTILISATION,74.1
Basic precious and non-ferrous metal products,3,2021,UTILISATION,75.0
Basic precious and non-ferrous metal products,4,2021,UTILISATION,74.3
Metal products,4,2003,UTILISATION,88.1
Metal products,1,2004,UTILISATION,83.2
Metal products,2,2004,UTILISATION,75.1
Metal products,3,2004,UTILISATION,79.3
Metal products,4,2004,UTILISATION,82.2
Metal products,1,2005,UTILISATION,83.6
Metal products,2,2005,UTILISATION,82.8
Metal products,3,2005,UTILISATION,82.4
Metal products,4,2005,UTILISATION,84.9
Metal products,1,2006,UTILISATION,83.3
Metal products,2,2006,UTILISATION,83.0
Metal products,3,2006,UTILISATION,84.1
Metal products,4,2006,UTILISATION,85.8
Metal products,1,2007,UTILISATION,81.4
Metal products,2,2007,UTILISATION,82.2
Metal products,3,2007,UTILISATION,83.0
Metal products,4,2007,UTILISATION,83.3
Metal products,1,2008,UTILISATION,82.6
Metal products,2,2008,UTILISATION,82.3
Metal products,3,2008,UTILISATION,81.3
Metal products,4,2008,UTILISATION,79.1
Metal products,1,2009,UTILISATION,74.3
Metal products,2,2009,UTILISATION,73.7
Metal products,3,2009,UTILISATION,72.9
Metal products,4,2009,UTILISATION,75.4
Metal products,1,2010,UTILISATION,74.1
Metal products,2,2010,UTILISATION,72.8
Metal products,3,2010,UTILISATION,71.5
Metal products,4,2010,UTILISATION,75.4
Metal products,1,2011,UTILISATION,73.6
Metal products,2,2011,UTILISATION,75.3
Metal products,3,2011,UTILISATION,75.6
Metal products,4,2011,UTILISATION,76.8
Metal products,1,2012,UTILISATION,75.1
Metal products,2,2012,UTILISATION,74.7
Metal products,3,2012,UTILISATION,76.4
Metal products,4,2012,UTILISATION,80.8
Metal products,1,2013,UTILISATION,76.6
Metal products,2,2013,UTILISATION,74.9
Metal products,3,2013,UTILISATION,76.1
Metal products,4,2013,UTILISATION,78.1
Metal products,1,2014,UTILISATION,75.3
Metal products,2,2014,UTILISATION,74.4
Metal products,3,2014,UTILISATION,76.6
Metal products,4,2014,UTILISATION,75.6
Metal products,1,2015,UTILISATION,74.1
Metal products,2,2015,UTILISATION,73.0
Metal products,3,2015,UTILISATION,72.1
Metal products,4,2015,UTILISATION,74.5
Metal products,1,2016,UTILISATION,72.5
Metal products,2,2016,UTILISATION,72.4
Metal products,3,2016,UTILISATION,73.0
Metal products,4,2016,UTILISATION,75.9
Metal products,1,2017,UTILISATION,73.6
Metal products,2,2017,UTILISATION,74.0
Metal products,3,2017,UTILISATION,73.9
Metal products,4,2017,UTILISATION,75.0
Metal products,1,2018,UTILISATION,73.0
Metal products,2,2018,UTILISATION,74.0
Metal products,3,2018,UTILISATION,73.9
Metal products,4,2018,UTILISATION,73.7
Metal products,1,2019,UTILISATION,72.7
Metal products,2,2019,UTILISATION,74.5
Metal products,3,2019,UTILISATION,72.7
Metal products,4,2019,UTILISATION,72.2
Metal products,1,2020,UTILISATION,71.8
Metal products,2,2020,UTILISATION,44.3
Metal products,3,2020,UTILISATION,60.0
Metal products,4,2020,UTILISATION,71.5
Metal products,1,2021,UTILISATION,72.5
Metal products,2,2021,UTILISATION,74.6
Metal products,3,2021,UTILISATION,75.6
Metal products,4,2021,UTILISATION,74.5
Machinery,4,2003,UTILISATION,84.2
Machinery,1,2004,UTILISATION,83.6
Machinery,2,2004,UTILISATION,81.3
Machinery,3,2004,UTILISATION,83.5
Machinery,4,2004,UTILISATION,83.4
Machinery,1,2005,UTILISATION,85.0
Machinery,2,2005,UTILISATION,81.6
Machinery,3,2005,UTILISATION,86.6
Machinery,4,2005,UTILISATION,85.6
Machinery,1,2006,UTILISATION,84.4
Machinery,2,2006,UTILISATION,89.8
Machinery,3,2006,UTILISATION,90.1
Machinery,4,2006,UTILISATION,89.6
Machinery,1,2007,UTILISATION,90.4
Machinery,2,2007,UTILISATION,89.2
Machinery,3,2007,UTILISATION,88.3
Machinery,4,2007,UTILISATION,90.0
Machinery,1,2008,UTILISATION,88.4
Machinery,2,2008,UTILISATION,87.8
Machinery,3,2008,UTILISATION,87.4
Machinery,4,2008,UTILISATION,84.8
Machinery,1,2009,UTILISATION,75.8
Machinery,2,2009,UTILISATION,74.6
Machinery,3,2009,UTILISATION,73.6
Machinery,4,2009,UTILISATION,77.5
Machinery,1,2010,UTILISATION,78.3
Machinery,2,2010,UTILISATION,77.6
Machinery,3,2010,UTILISATION,78.5
Machinery,4,2010,UTILISATION,82.0
Machinery,1,2011,UTILISATION,79.6
Machinery,2,2011,UTILISATION,82.1
Machinery,3,2011,UTILISATION,83.6
Machinery,4,2011,UTILISATION,86.5
Machinery,1,2012,UTILISATION,84.6
Machinery,2,2012,UTILISATION,84.7
Machinery,3,2012,UTILISATION,83.2
Machinery,4,2012,UTILISATION,85.6
Machinery,1,2013,UTILISATION,82.0
Machinery,2,2013,UTILISATION,83.0
Machinery,3,2013,UTILISATION,83.5
Machinery,4,2013,UTILISATION,84.5
Machinery,1,2014,UTILISATION,81.5
Machinery,2,2014,UTILISATION,80.9
Machinery,3,2014,UTILISATION,81.7
Machinery,4,2014,UTILISATION,83.7
Machinery,1,2015,UTILISATION,82.2
Machinery,2,2015,UTILISATION,81.9
Machinery,3,2015,UTILISATION,82.4
Machinery,4,2015,UTILISATION,81.1
Machinery,1,2016,UTILISATION,82.2
Machinery,2,2016,UTILISATION,81.2
Machinery,3,2016,UTILISATION,80.5
Machinery,4,2016,UTILISATION,80.1
Machinery,1,2017,UTILISATION,81.1
Machinery,2,2017,UTILISATION,81.6
Machinery,3,2017,UTILISATION,80.7
Machinery,4,2017,UTILISATION,81.0
Machinery,1,2018,UTILISATION,79.3
Machinery,2,2018,UTILISATION,78.1
Machinery,3,2018,UTILISATION,79.0
Machinery,4,2018,UTILISATION,79.0
Machinery,1,2019,UTILISATION,79.0
Machinery,2,2019,UTILISATION,80.7
Machinery,3,2019,UTILISATION,77.9
Machinery,4,2019,UTILISATION,80.1
Machinery,1,2020,UTILISATION,78.2
Machinery,2,2020,UTILISATION,73.3
Machinery,3,2020,UTILISATION,76.0
Machinery,4,2020,UTILISATION,79.7
Machinery,1,2021,UTILISATION,77.9
Machinery,2,2021,UTILISATION,73.4
Machinery,3,2021,UTILISATION,73.0
Machinery,4,2021,UTILISATION,77.2
"Radio, television and communication apparatus",4,2003,UTILISATION,82.6
"Radio, television and communication apparatus",1,2004,UTILISATION,79.7
"Radio, television and communication apparatus",2,2004,UTILISATION,82.4
"Radio, television and communication apparatus",3,2004,UTILISATION,80.5
"Radio, television and communication apparatus",4,2004,UTILISATION,88.3
"Radio, television and communication apparatus",1,2005,UTILISATION,88.1
"Radio, television and communication apparatus",2,2005,UTILISATION,85.9
"Radio, television and communication apparatus",3,2005,UTILISATION,87.1
"Radio, television and communication apparatus",4,2005,UTILISATION,89.6
"Radio, television and communication apparatus",1,2006,UTILISATION,83.6
"Radio, television and communication apparatus",2,2006,UTILISATION,90.1
"Radio, television and communication apparatus",3,2006,UTILISATION,90.8
"Radio, television and communication apparatus",4,2006,UTILISATION,90.0
"Radio, television and communication apparatus",1,2007,UTILISATION,86.2
"Radio, television and communication apparatus",2,2007,UTILISATION,86.9
"Radio, television and communication apparatus",3,2007,UTILISATION,88.9
"Radio, television and communication apparatus",4,2007,UTILISATION,91.6
"Radio, television and communication apparatus",1,2008,UTILISATION,88.6
"Radio, television and communication apparatus",2,2008,UTILISATION,87.4
"Radio, television and communication apparatus",3,2008,UTILISATION,88.6
"Radio, television and communication apparatus",4,2008,UTILISATION,89.1
"Radio, television and communication apparatus",1,2009,UTILISATION,87.7
"Radio, television and communication apparatus",2,2009,UTILISATION,87.1
"Radio, television and communication apparatus",3,2009,UTILISATION,81.8
"Radio, television and communication apparatus",4,2009,UTILISATION,85.8
"Radio, television and communication apparatus",1,2010,UTILISATION,74.0
"Radio, television and communication apparatus",2,2010,UTILISATION,71.1
"Radio, television and communication apparatus",3,2010,UTILISATION,69.2
"Radio, television and communication apparatus",4,2010,UTILISATION,78.5
"Radio, television and communication apparatus",1,2011,UTILISATION,76.3
"Radio, television and communication apparatus",2,2011,UTILISATION,73.0
"Radio, television and communication apparatus",3,2011,UTILISATION,78.6
"Radio, television and communication apparatus",4,2011,UTILISATION,78.3
"Radio, television and communication apparatus",1,2012,UTILISATION,79.5
"Radio, television and communication apparatus",2,2012,UTILISATION,77.3
"Radio, television and communication apparatus",3,2012,UTILISATION,79.9
"Radio, television and communication apparatus",4,2012,UTILISATION,88.1
"Radio, television and communication apparatus",1,2013,UTILISATION,85.3
"Radio, television and communication apparatus",2,2013,UTILISATION,77.3
"Radio, television and communication apparatus",3,2013,UTILISATION,80.7
"Radio, television and communication apparatus",4,2013,UTILISATION,86.4
"Radio, television and communication apparatus",1,2014,UTILISATION,84.6
"Radio, television and communication apparatus",2,2014,UTILISATION,85.1
"Radio, television and communication apparatus",3,2014,UTILISATION,88.4
"Radio, television and communication apparatus",4,2014,UTILISATION,89.4
"Radio, television and communication apparatus",1,2015,UTILISATION,82.8
"Radio, television and communication apparatus",2,2015,UTILISATION,80.5
"Radio, television and communication apparatus",3,2015,UTILISATION,80.0
"Radio, television and communication apparatus",4,2015,UTILISATION,80.8
"Radio, television and communication apparatus",1,2016,UTILISATION,81.8
"Radio, television and communication apparatus",2,2016,UTILISATION,83.9
"Radio, television and communication apparatus",3,2016,UTILISATION,84.6
"Radio, television and communication apparatus",4,2016,UTILISATION,83.5
"Radio, television and communication apparatus",1,2017,UTILISATION,82.2
"Radio, television and communication apparatus",2,2017,UTILISATION,84.3
"Radio, television and communication apparatus",3,2017,UTILISATION,84.4
"Radio, television and communication apparatus",4,2017,UTILISATION,83.2
"Radio, television and communication apparatus",1,2018,UTILISATION,79.5
"Radio, television and communication apparatus",2,2018,UTILISATION,79.3
"Radio, television and communication apparatus",3,2018,UTILISATION,79.2
"Radio, television and communication apparatus",4,2018,UTILISATION,81.6
"Radio, television and communication apparatus",1,2019,UTILISATION,78.0
"Radio, television and communication apparatus",2,2019,UTILISATION,76.6
"Radio, television and communication apparatus",3,2019,UTILISATION,75.1
"Radio, television and communication apparatus",4,2019,UTILISATION,74.6
"Radio, television and communication apparatus",1,2020,UTILISATION,76.2
"Radio, television and communication apparatus",2,2020,UTILISATION,61.7
"Radio, television and communication apparatus",3,2020,UTILISATION,71.6
"Radio, television and communication apparatus",4,2020,UTILISATION,77.5
"Radio, television and communication apparatus",1,2021,UTILISATION,73.3
"Radio, television and communication apparatus",2,2021,UTILISATION,77.5
"Radio, television and communication apparatus",3,2021,UTILISATION,78.2
"Radio, television and communication apparatus",4,2021,UTILISATION,78.2
Professional equipment,4,2003,UTILISATION,86.7
Professional equipment,1,2004,UTILISATION,94.1
Professional equipment,2,2004,UTILISATION,94.1
Professional equipment,3,2004,UTILISATION,85.2
Professional equipment,4,2004,UTILISATION,80.5
Professional equipment,1,2005,UTILISATION,82.4
Professional equipment,2,2005,UTILISATION,82.9
Professional equipment,3,2005,UTILISATION,84.5
Professional equipment,4,2005,UTILISATION,87.7
Professional equipment,1,2006,UTILISATION,85.8
Professional equipment,2,2006,UTILISATION,85.6
Professional equipment,3,2006,UTILISATION,89.0
Professional equipment,4,2006,UTILISATION,89.6
Professional equipment,1,2007,UTILISATION,88.8
Professional equipment,2,2007,UTILISATION,89.5
Professional equipment,3,2007,UTILISATION,88.7
Professional equipment,4,2007,UTILISATION,88.9
Professional equipment,1,2008,UTILISATION,88.2
Professional equipment,2,2008,UTILISATION,88.8
Professional equipment,3,2008,UTILISATION,87.3
Professional equipment,4,2008,UTILISATION,86.2
Professional equipment,1,2009,UTILISATION,80.5
Professional equipment,2,2009,UTILISATION,84.4
Professional equipment,3,2009,UTILISATION,80.2
Professional equipment,4,2009,UTILISATION,86.7
Professional equipment,1,2010,UTILISATION,84.1
Professional equipment,2,2010,UTILISATION,86.0
Professional equipment,3,2010,UTILISATION,86.4
Professional equipment,4,2010,UTILISATION,83.8
Professional equipment,1,2011,UTILISATION,83.2
Professional equipment,2,2011,UTILISATION,84.8
Professional equipment,3,2011,UTILISATION,89.3
Professional equipment,4,2011,UTILISATION,91.0
Professional equipment,1,2012,UTILISATION,86.5
Professional equipment,2,2012,UTILISATION,88.5
Professional equipment,3,2012,UTILISATION,89.9
Professional equipment,4,2012,UTILISATION,90.6
Professional equipment,1,2013,UTILISATION,84.8
Professional equipment,2,2013,UTILISATION,85.7
Professional equipment,3,2013,UTILISATION,85.2
Professional equipment,4,2013,UTILISATION,88.6
Professional equipment,1,2014,UTILISATION,84.6
Professional equipment,2,2014,UTILISATION,84.7
Professional equipment,3,2014,UTILISATION,83.9
Professional equipment,4,2014,UTILISATION,86.5
Professional equipment,1,2015,UTILISATION,82.7
Professional equipment,2,2015,UTILISATION,84.1
Professional equipment,3,2015,UTILISATION,85.0
Professional equipment,4,2015,UTILISATION,87.8
Professional equipment,1,2016,UTILISATION,86.6
Professional equipment,2,2016,UTILISATION,85.6
Professional equipment,3,2016,UTILISATION,85.8
Professional equipment,4,2016,UTILISATION,87.0
Professional equipment,1,2017,UTILISATION,86.3
Professional equipment,2,2017,UTILISATION,87.2
Professional equipment,3,2017,UTILISATION,82.5
Professional equipment,4,2017,UTILISATION,87.0
Professional equipment,1,2018,UTILISATION,87.3
Professional equipment,2,2018,UTILISATION,82.3
Professional equipment,3,2018,UTILISATION,79.3
Professional equipment,4,2018,UTILISATION,82.6
Professional equipment,1,2019,UTILISATION,79.8
Professional equipment,2,2019,UTILISATION,80.7
Professional equipment,3,2019,UTILISATION,81.3
Professional equipment,4,2019,UTILISATION,82.0
Professional equipment,1,2020,UTILISATION,79.5
Professional equipment,2,2020,UTILISATION,60.3
Professional equipment,3,2020,UTILISATION,69.0
Professional equipment,4,2020,UTILISATION,82.0
Professional equipment,1,2021,UTILISATION,78.1
Professional equipment,2,2021,UTILISATION,81.6
Professional equipment,3,2021,UTILISATION,82.3
Professional equipment,4,2021,UTILISATION,83.4
"Motor vehicles, parts and accessories",4,2003,UTILISATION,77.5
"Motor vehicles, parts and accessories",1,2004,UTILISATION,80.3
"Motor vehicles, parts and accessories",2,2004,UTILISATION,82.8
"Motor vehicles, parts and accessories",3,2004,UTILISATION,84.2
"Motor vehicles, parts and accessories",4,2004,UTILISATION,86.2
"Motor vehicles, parts and accessories",1,2005,UTILISATION,77.6
"Motor vehicles, parts and accessories",2,2005,UTILISATION,85.1
"Motor vehicles, parts and accessories",3,2005,UTILISATION,87.0
"Motor vehicles, parts and accessories",4,2005,UTILISATION,88.9
"Motor vehicles, parts and accessories",1,2006,UTILISATION,88.5
"Motor vehicles, parts and accessories",2,2006,UTILISATION,88.7
"Motor vehicles, parts and accessories",3,2006,UTILISATION,88.6
"Motor vehicles, parts and accessories",4,2006,UTILISATION,91.1
"Motor vehicles, parts and accessories",1,2007,UTILISATION,90.7
"Motor vehicles, parts and accessories",2,2007,UTILISATION,89.2
"Motor vehicles, parts and accessories",3,2007,UTILISATION,88.3
"Motor vehicles, parts and accessories",4,2007,UTILISATION,87.7
"Motor vehicles, parts and accessories",1,2008,UTILISATION,86.6
"Motor vehicles, parts and accessories",2,2008,UTILISATION,83.3
"Motor vehicles, parts and accessories",3,2008,UTILISATION,83.1
"Motor vehicles, parts and accessories",4,2008,UTILISATION,79.5
"Motor vehicles, parts and accessories",1,2009,UTILISATION,69.7
"Motor vehicles, parts and accessories",2,2009,UTILISATION,68.7
"Motor vehicles, parts and accessories",3,2009,UTILISATION,66.7
"Motor vehicles, parts and accessories",4,2009,UTILISATION,75.2
"Motor vehicles, parts and accessories",1,2010,UTILISATION,73.7
"Motor vehicles, parts and accessories",2,2010,UTILISATION,77.8
"Motor vehicles, parts and accessories",3,2010,UTILISATION,71.8
"Motor vehicles, parts and accessories",4,2010,UTILISATION,85.1
"Motor vehicles, parts and accessories",1,2011,UTILISATION,81.4
"Motor vehicles, parts and accessories",2,2011,UTILISATION,77.3
