INDUSTRY,QUARTER,YEAR,RAW_MATERIAL_%,SKILLED_LABOUR_%,SEMI_AND_UNSKILLED LABOUR_%,INSUFFICIENT_DEMAND_%,OTHER_REASONS_%
Glass and glass products,4,2010,0.0,0.0,0.0,51.38,48.62
Glass and glass products,1,2011,0.0,0.0,0.0,71.09,28.91
Glass and glass products,2,2011,0.0,0.0,0.0,58.28,41.72
Glass and glass products,3,2011,0.0,0.0,0.0,65.71,34.29
Glass and glass products,4,2011,0.0,0.0,0.0,77.78,22.22
Glass and glass products,1,2012,0.0,0.0,0.0,58.02,41.98
Glass and glass products,2,2012,0.0,0.0,0.0,48.65,51.35
Glass and glass products,3,2012,0.0,0.0,0.0,70.13,29.87
Glass and glass products,4,2012,0.0,0.0,0.0,81.54,18.46
Glass and glass products,1,2013,0.0,0.0,0.0,72.6,27.4
Glass and glass products,2,2013,0.0,0.0,0.0,72.22,27.78
Glass and glass products,3,2013,0.0,0.0,0.0,68.0,32.0
Glass and glass products,4,2013,0.0,0.0,0.0,76.52,23.48
Glass and glass products,1,2014,0.0,0.0,0.0,79.29,20.71
Glass and glass products,2,2014,0.0,0.0,0.0,59.09,40.91
Glass and glass products,3,2014,0.0,0.0,0.0,73.08,26.92
Glass and glass products,4,2014,0.0,0.0,0.0,55.19,45.45
Glass and glass products,1,2015,0.0,0.0,0.0,69.08,30.92
Glass and glass products,2,2015,0.0,0.0,0.0,84.62,15.38
Glass and glass products,3,2015,0.0,0.0,0.0,80.79,19.21
Glass and glass products,4,2015,0.0,0.0,0.0,92.41,7.59
Glass and glass products,1,2016,0.0,0.0,0.0,93.04,6.96
Glass and glass products,2,2016,0.0,0.0,0.0,90.91,9.09
Glass and glass products,3,2016,0.0,0.0,0.0,89.13,10.87
Glass and glass products,4,2016,0.0,0.0,0.0,92.86,7.14
Glass and glass products,1,2017,0.0,0.0,0.0,94.24,5.76
Glass and glass products,2,2017,0.0,0.0,0.0,93.79,6.21
Glass and glass products,3,2017,0.0,0.0,0.0,92.67,7.33
Glass and glass products,4,2017,0.0,0.0,0.0,92.14,7.86
Glass and glass products,1,2018,0.0,0.0,0.0,93.79,6.21
Glass and glass products,2,2018,0.0,0.0,0.0,92.72,7.28
Glass and glass products,3,2018,0.0,0.0,0.0,91.41,8.59
Glass and glass products,4,2018,0.0,0.0,0.0,90.35,9.65
Glass and glass products,1,2019,0.0,0.0,0.0,92.03,7.97
Glass and glass products,2,2019,0.0,0.0,0.0,89.11,10.89
Glass and glass products,3,2019,6.09,0.0,0.0,85.22,9.57
Glass and glass products,4,2019,6.93,0.0,0.0,83.17,10.89
Glass and glass products,1,2020,3.68,0.0,0.0,90.53,5.79
Glass and glass products,2,2020,0.0,0.0,0.0,38.42,61.78
Glass and glass products,3,2020,7.48,0.0,0.0,78.23,14.97
Glass and glass products,4,2020,6.93,0.0,0.0,83.17,10.89
Glass and glass products,1,2021,0.0,0.0,0.0,94.44,5.56
Glass and glass products,2,2021,10.0,6.67,0.0,79.17,4.17
Glass and glass products,3,2021,0.0,0.0,0.0,94.9,5.1
Glass and glass products,4,2021,0.0,0.0,0.0,95.54,4.46
Non-metallic mineral products,4,2003,0.0,5.56,1.39,77.08,15.97
Non-metallic mineral products,1,2004,1.27,15.82,0.63,64.56,17.72
Non-metallic mineral products,2,2004,1.88,2.5,0.62,70.62,24.38
Non-metallic mineral products,3,2004,0.0,1.5,0.75,64.66,33.08
Non-metallic mineral products,4,2004,2.56,1.71,0.85,61.54,33.33
Non-metallic mineral products,1,2005,3.48,2.61,0.87,31.3,61.74
Non-metallic mineral products,2,2005,9.09,3.03,0.76,49.24,37.88
Non-metallic mineral products,3,2005,7.48,1.87,0.0,71.03,20.56
Non-metallic mineral products,4,2005,12.77,0.0,0.0,77.66,9.57
Non-metallic mineral products,1,2006,6.71,6.71,3.05,65.85,17.68
Non-metallic mineral products,2,2006,7.03,0.0,0.0,59.37,33.59
Non-metallic mineral products,3,2006,16.15,4.62,0.0,56.15,23.08
Non-metallic mineral products,4,2006,12.37,6.19,0.0,53.61,28.87
Non-metallic mineral products,1,2007,6.82,4.55,0.76,56.82,31.82
Non-metallic mineral products,2,2007,9.01,7.21,0.0,60.36,22.52
Non-metallic mineral products,3,2007,5.56,4.76,0.0,63.49,26.19
Non-metallic mineral products,4,2007,3.94,6.3,0.0,60.63,29.92
Non-metallic mineral products,1,2008,5.11,6.57,0.0,57.66,30.66
Non-metallic mineral products,2,2008,3.97,9.93,0.66,41.06,44.37
Non-metallic mineral products,3,2008,2.94,16.18,1.47,32.35,47.06
Non-metallic mineral products,4,2008,1.29,13.55,7.1,36.13,41.94
Non-metallic mineral products,1,2009,2.93,14.63,7.32,36.59,38.54
Non-metallic mineral products,2,2009,2.33,2.91,0.58,52.91,41.28
Non-metallic mineral products,3,2009,1.84,2.3,0.46,32.26,63.13
Non-metallic mineral products,4,2009,1.48,14.78,6.9,33.99,42.36
Non-metallic mineral products,1,2010,0.85,2.56,0.0,52.99,43.59
Non-metallic mineral products,2,2010,1.34,5.8,0.0,54.91,37.95
Non-metallic mineral products,3,2010,0.0,7.79,0.0,64.75,27.46
Non-metallic mineral products,4,2010,3.9,0.87,0.0,75.76,19.48
Non-metallic mineral products,1,2011,3.8,2.28,0.38,57.79,36.12
Non-metallic mineral products,2,2011,6.99,3.06,0.87,59.83,29.26
Non-metallic mineral products,3,2011,5.45,5.0,0.45,74.55,14.55
Non-metallic mineral products,4,2011,4.5,6.76,1.35,44.14,43.24
Non-metallic mineral products,1,2012,4.33,6.3,0.0,43.31,45.67
Non-metallic mineral products,2,2012,6.14,4.39,0.44,51.75,36.84
Non-metallic mineral products,3,2012,2.32,6.56,3.09,54.05,33.98
Non-metallic mineral products,4,2012,2.7,3.15,0.45,52.25,41.89
Non-metallic mineral products,1,2013,3.85,6.92,2.69,51.15,35.38
Non-metallic mineral products,2,2013,5.91,1.82,0.45,53.64,38.18
Non-metallic mineral products,3,2013,4.47,4.47,0.56,53.63,37.43
Non-metallic mineral products,4,2013,6.91,2.13,0.0,55.32,35.64
Non-metallic mineral products,1,2014,7.28,3.4,0.0,56.8,32.52
Non-metallic mineral products,2,2014,5.35,1.07,0.0,50.27,43.32
Non-metallic mineral products,3,2014,4.67,0.93,0.47,64.49,29.44
Non-metallic mineral products,4,2014,4.66,1.04,0.0,63.73,30.57
Non-metallic mineral products,1,2015,5.04,1.26,0.0,67.65,26.05
Non-metallic mineral products,2,2015,5.0,0.0,0.0,72.27,22.73
Non-metallic mineral products,3,2015,2.97,0.0,0.0,74.75,22.28
Non-metallic mineral products,4,2015,4.7,0.0,0.0,68.46,26.85
Non-metallic mineral products,1,2016,4.06,1.02,0.0,69.54,25.38
Non-metallic mineral products,2,2016,3.08,1.03,0.51,63.08,32.31
Non-metallic mineral products,3,2016,2.06,2.06,1.03,59.79,35.05
Non-metallic mineral products,4,2016,4.82,1.2,0.6,68.67,24.1
Non-metallic mineral products,1,2017,1.9,1.9,0.0,69.05,27.14
Non-metallic mineral products,2,2017,2.12,0.53,0.0,72.49,25.4
Non-metallic mineral products,3,2017,1.02,0.0,0.51,75.13,23.35
Non-metallic mineral products,4,2017,0.52,1.55,0.52,74.09,23.32
Non-metallic mineral products,1,2018,1.0,1.49,0.0,72.64,25.37
Non-metallic mineral products,2,2018,1.93,0.48,0.0,69.57,27.54
Non-metallic mineral products,3,2018,6.32,0.53,0.0,71.58,21.58
Non-metallic mineral products,4,2018,0.0,0.0,0.0,79.79,20.21
Non-metallic mineral products,1,2019,3.75,1.67,0.0,69.17,25.83
Non-metallic mineral products,2,2019,0.82,1.64,0.0,74.18,23.36
Non-metallic mineral products,3,2019,8.52,0.37,0.0,69.26,22.22
Non-metallic mineral products,4,2019,8.3,0.0,0.0,63.07,28.22
Non-metallic mineral products,1,2020,1.08,0.0,0.0,84.84,14.08
Non-metallic mineral products,2,2020,8.28,8.97,0.34,35.86,46.55
Non-metallic mineral products,3,2020,9.94,0.62,0.31,57.14,31.99
Non-metallic mineral products,4,2020,10.29,1.23,0.0,60.08,28.4
Non-metallic mineral products,1,2021,8.64,0.0,0.33,46.18,45.18
Non-metallic mineral products,2,2021,12.85,0.0,0.4,56.63,30.12
Non-metallic mineral products,3,2021,10.48,1.75,0.0,54.15,33.62
Non-metallic mineral products,4,2021,9.39,1.63,0.0,59.18,29.39
Basic iron and steel products,4,2003,23.48,17.39,0.0,40.0,19.13
Basic iron and steel products,1,2004,40.0,8.46,0.77,26.92,23.85
Basic iron and steel products,2,2004,40.16,2.36,6.3,19.69,31.5
Basic iron and steel products,3,2004,28.85,7.69,0.0,23.08,40.38
Basic iron and steel products,4,2004,2.63,1.32,0.0,15.79,80.26
Basic iron and steel products,1,2005,3.7,1.23,0.0,66.67,28.4
Basic iron and steel products,2,2005,6.17,1.23,1.23,59.26,32.1
Basic iron and steel products,3,2005,7.2,0.8,0.0,68.8,24.8
Basic iron and steel products,4,2005,4.04,0.0,0.0,66.67,28.28
Basic iron and steel products,1,2006,41.55,1.41,0.0,42.96,14.08
Basic iron and steel products,2,2006,63.03,5.45,0.61,15.15,15.76
Basic iron and steel products,3,2006,68.53,2.1,0.0,16.08,13.29
Basic iron and steel products,4,2006,55.04,0.78,0.0,22.48,21.71
Basic iron and steel products,1,2007,42.5,1.25,0.0,20.0,36.25
Basic iron and steel products,2,2007,46.94,1.36,0.0,10.2,41.5
Basic iron and steel products,3,2007,37.7,1.57,0.0,23.04,37.17
Basic iron and steel products,4,2007,42.42,1.21,0.0,21.21,35.76
Basic iron and steel products,1,2008,52.17,1.45,0.0,5.31,41.06
Basic iron and steel products,2,2008,57.84,1.08,0.0,11.89,29.19
Basic iron and steel products,3,2008,53.85,1.65,0.0,34.07,10.44
Basic iron and steel products,4,2008,27.79,0.82,0.0,63.49,7.9
Basic iron and steel products,1,2009,14.92,1.26,0.0,69.12,14.71
Basic iron and steel products,2,2009,14.16,1.42,0.0,73.37,11.05
Basic iron and steel products,3,2009,7.11,1.98,0.0,73.91,17.0
Basic iron and steel products,4,2009,15.5,1.48,1.11,78.23,4.06
Basic iron and steel products,1,2010,44.88,4.88,0.0,20.49,30.24
Basic iron and steel products,2,2010,53.33,1.67,0.0,20.56,24.44
Basic iron and steel products,3,2010,25.51,1.65,0.0,33.33,39.51
Basic iron and steel products,4,2010,19.4,14.66,0.0,56.9,8.62
Basic iron and steel products,1,2011,23.96,16.59,0.0,40.55,18.89
Basic iron and steel products,2,2011,21.56,16.17,0.0,40.72,21.56
Basic iron and steel products,3,2011,4.12,8.51,0.0,36.6,50.52
Basic iron and steel products,4,2011,5.42,11.19,0.0,40.0,43.39
Basic iron and steel products,1,2012,19.4,14.66,0.0,51.72,14.22
Basic iron and steel products,2,2012,19.57,13.62,0.43,51.49,14.89
Basic iron and steel products,3,2012,17.08,11.39,0.0,48.4,23.13
Basic iron and steel products,4,2012,28.21,17.52,0.0,40.6,13.68
Basic iron and steel products,1,2013,19.15,8.51,0.0,22.7,49.65
Basic iron and steel products,2,2013,19.68,13.83,0.0,38.3,28.72
Basic iron and steel products,3,2013,19.34,12.77,0.0,34.31,33.58
Basic iron and steel products,4,2013,28.12,19.2,0.0,33.93,18.75
Basic iron and steel products,1,2014,26.46,18.83,0.0,33.18,21.08
Basic iron and steel products,2,2014,26.13,18.92,0.45,31.08,22.97
Basic iron and steel products,3,2014,24.37,18.07,0.0,37.39,20.59
Basic iron and steel products,4,2014,24.29,16.6,0.0,36.03,23.08
Basic iron and steel products,1,2015,27.36,19.34,0.0,42.92,10.38
Basic iron and steel products,2,2015,18.85,13.11,0.41,51.64,15.98
Basic iron and steel products,3,2015,17.0,11.0,0.0,60.0,12.33
Basic iron and steel products,4,2015,18.59,11.9,0.37,55.76,13.38
Basic iron and steel products,1,2016,22.22,13.99,0.0,48.56,15.23
Basic iron and steel products,2,2016,23.01,14.16,0.44,44.25,18.14
Basic iron and steel products,3,2016,18.73,12.73,0.0,29.59,38.95
Basic iron and steel products,4,2016,22.0,12.0,0.0,34.0,31.5
Basic iron and steel products,1,2017,28.88,17.67,0.0,35.34,18.1
Basic iron and steel products,2,2017,26.82,19.09,0.0,40.0,14.09
Basic iron and steel products,3,2017,24.61,15.62,0.0,36.33,23.44
Basic iron and steel products,4,2017,23.33,16.19,0.0,40.95,19.52
Basic iron and steel products,1,2018,24.51,15.42,0.0,41.11,18.58
Basic iron and steel products,2,2018,28.69,16.46,0.0,41.77,13.08
Basic iron and steel products,3,2018,21.05,15.38,0.0,40.49,23.08
Basic iron and steel products,4,2018,22.83,16.44,0.0,50.68,10.05
Basic iron and steel products,1,2019,23.53,14.93,0.45,49.77,11.76
Basic iron and steel products,2,2019,27.35,18.8,0.0,41.88,11.97
Basic iron and steel products,3,2019,22.22,14.05,0.0,52.94,10.78
Basic iron and steel products,4,2019,20.65,12.9,0.32,46.77,19.35
Basic iron and steel products,1,2020,19.48,12.21,0.0,43.31,25.0
Basic iron and steel products,2,2020,13.86,8.85,0.0,34.89,42.4
Basic iron and steel products,3,2020,19.36,11.38,0.0,40.72,28.34
Basic iron and steel products,4,2020,19.33,10.57,0.26,32.22,37.89
Basic iron and steel products,1,2021,30.82,11.15,0.33,28.85,29.18
Basic iron and steel products,2,2021,34.02,11.07,0.0,31.97,22.54
Basic iron and steel products,3,2021,21.55,8.83,0.0,44.88,24.38
Basic iron and steel products,4,2021,17.67,10.7,0.93,42.79,28.37
Basic precious and non-ferrous metal products,4,2003,38.53,18.35,0.0,26.61,16.51
Basic precious and non-ferrous metal products,1,2004,42.74,8.87,0.81,22.58,25.0
Basic precious and non-ferrous metal products,2,2004,5.63,2.82,1.41,53.52,36.62
Basic precious and non-ferrous metal products,3,2004,16.42,1.49,0.0,55.22,26.87
Basic precious and non-ferrous metal products,4,2004,18.75,4.17,2.08,39.58,35.42
Basic precious and non-ferrous metal products,1,2005,25.0,10.42,2.08,43.75,18.75
Basic precious and non-ferrous metal products,2,2005,15.58,5.19,1.3,64.94,12.99
Basic precious and non-ferrous metal products,3,2005,19.67,9.84,4.92,49.18,18.03
Basic precious and non-ferrous metal products,4,2005,38.6,3.51,3.51,47.37,7.02
Basic precious and non-ferrous metal products,1,2006,32.35,4.41,8.82,25.0,29.41
Basic precious and non-ferrous metal products,2,2006,40.35,7.02,1.75,35.09,15.79
Basic precious and non-ferrous metal products,3,2006,25.0,5.26,1.32,52.63,15.79
Basic precious and non-ferrous metal products,4,2006,32.43,8.11,6.76,17.57,35.14
Basic precious and non-ferrous metal products,1,2007,14.47,2.63,0.0,63.16,21.05
Basic precious and non-ferrous metal products,2,2007,33.87,4.84,0.0,46.77,14.52
Basic precious and non-ferrous metal products,3,2007,20.31,6.25,3.12,51.56,17.19
Basic precious and non-ferrous metal products,4,2007,37.29,8.47,3.39,40.68,10.17
Basic precious and non-ferrous metal products,1,2008,22.73,9.09,3.41,17.05,47.73
Basic precious and non-ferrous metal products,2,2008,17.82,4.95,3.96,39.6,33.66
Basic precious and non-ferrous metal products,3,2008,23.58,2.44,3.25,43.09,27.64
Basic precious and non-ferrous metal products,4,2008,9.88,1.16,1.16,65.12,22.67
Basic precious and non-ferrous metal products,1,2009,10.94,2.6,1.04,67.19,18.23
Basic precious and non-ferrous metal products,2,2009,8.79,3.3,1.65,74.18,12.09
Basic precious and non-ferrous metal products,3,2009,11.7,3.19,1.06,78.19,5.85
Basic precious and non-ferrous metal products,4,2009,22.02,4.17,1.19,71.43,1.79
Basic precious and non-ferrous metal products,1,2010,21.12,4.97,1.24,70.19,1.86
Basic precious and non-ferrous metal products,2,2010,11.04,3.9,1.3,62.99,21.43
Basic precious and non-ferrous metal products,3,2010,4.19,6.59,1.2,50.9,36.53
Basic precious and non-ferrous metal products,4,2010,5.56,6.25,2.08,77.78,9.03
Basic precious and non-ferrous metal products,1,2011,7.07,4.04,1.01,61.11,26.77
Basic precious and non-ferrous metal products,2,2011,7.65,4.71,1.18,66.47,20.0
Basic precious and non-ferrous metal products,3,2011,21.91,6.18,1.12,60.67,10.67
Basic precious and non-ferrous metal products,4,2011,15.38,8.24,0.55,60.44,14.84
Basic precious and non-ferrous metal products,1,2012,8.15,3.0,0.86,48.5,39.48
Basic precious and non-ferrous metal products,2,2012,2.79,1.24,0.62,32.82,62.54
Basic precious and non-ferrous metal products,3,2012,12.61,1.35,0.45,48.65,36.94
Basic precious and non-ferrous metal products,4,2012,12.83,2.14,0.0,57.22,28.34
Basic precious and non-ferrous metal products,1,2013,9.14,2.15,0.54,54.3,33.87
Basic precious and non-ferrous metal products,2,2013,5.29,2.65,1.06,56.08,34.92
Basic precious and non-ferrous metal products,3,2013,4.74,2.11,1.05,55.79,36.32
Basic precious and non-ferrous metal products,4,2013,2.69,1.61,0.54,55.38,40.32
Basic precious and non-ferrous metal products,1,2014,4.85,1.21,0.0,60.61,33.33
Basic precious and non-ferrous metal products,2,2014,2.6,1.56,2.08,58.85,34.38
Basic precious and non-ferrous metal products,3,2014,5.5,1.5,0.5,53.5,39.0
Basic precious and non-ferrous metal products,4,2014,6.03,1.51,0.5,49.75,42.21
Basic precious and non-ferrous metal products,1,2015,3.77,1.42,0.47,50.94,43.4
Basic precious and non-ferrous metal products,2,2015,7.66,0.9,0.45,47.75,43.24
Basic precious and non-ferrous metal products,3,2015,3.61,1.08,0.0,59.21,35.74
Basic precious and non-ferrous metal products,4,2015,4.25,2.32,0.77,63.32,29.73
Basic precious and non-ferrous metal products,1,2016,5.05,1.38,0.0,61.01,32.57
Basic precious and non-ferrous metal products,2,2016,4.24,0.85,0.0,68.22,27.12
Basic precious and non-ferrous metal products,3,2016,2.36,0.94,0.0,66.51,30.19
Basic precious and non-ferrous metal products,4,2016,3.32,1.9,0.0,68.72,26.07
Basic precious and non-ferrous metal products,1,2017,5.53,1.7,0.0,65.96,26.38
Basic precious and non-ferrous metal products,2,2017,5.07,1.38,0.0,76.5,16.59
Basic precious and non-ferrous metal products,3,2017,5.71,1.43,1.43,69.05,22.86
Basic precious and non-ferrous metal products,4,2017,5.97,1.49,0.5,64.68,27.36
Basic precious and non-ferrous metal products,1,2018,2.25,3.15,0.9,62.61,31.53
Basic precious and non-ferrous metal products,2,2018,3.55,1.02,0.0,78.68,16.75
Basic precious and non-ferrous metal products,3,2018,4.28,1.07,0.0,81.28,13.37
Basic precious and non-ferrous metal products,4,2018,2.62,1.05,0.0,84.29,12.04
Basic precious and non-ferrous metal products,1,2019,4.95,1.35,0.0,78.83,15.32
Basic precious and non-ferrous metal products,2,2019,4.1,1.54,0.0,82.56,12.31
Basic precious and non-ferrous metal products,3,2019,3.36,0.84,0.0,75.21,20.59
Basic precious and non-ferrous metal products,4,2019,3.03,0.87,0.0,73.16,22.94
Basic precious and non-ferrous metal products,1,2020,5.36,1.79,0.45,73.66,18.75
Basic precious and non-ferrous metal products,2,2020,1.56,0.45,0.0,39.51,58.71
Basic precious and non-ferrous metal products,3,2020,1.82,0.61,0.0,65.65,31.91
Basic precious and non-ferrous metal products,4,2020,5.5,0.34,0.0,63.57,30.58
Basic precious and non-ferrous metal products,1,2021,3.24,0.72,0.0,62.59,33.45
Basic precious and non-ferrous metal products,2,2021,2.32,0.77,0.0,79.92,16.99
Basic precious and non-ferrous metal products,3,2021,2.4,0.8,0.0,79.6,17.2
Basic precious and non-ferrous metal products,4,2021,2.72,0.78,0.0,81.32,15.18
Metal products,4,2003,13.45,11.76,11.76,57.14,5.88
Metal products,1,2004,26.19,9.52,3.57,48.81,11.9
Metal products,2,2004,22.09,11.24,2.41,56.63,7.63
Metal products,3,2004,15.94,7.73,4.35,62.32,9.66
Metal products,4,2004,12.36,6.18,6.18,69.66,5.62
Metal products,1,2005,12.8,9.15,6.1,63.41,8.54
Metal products,2,2005,11.05,5.81,0.0,75.0,8.14
Metal products,3,2005,8.52,11.93,5.11,59.66,15.34
Metal products,4,2005,16.56,10.6,6.62,54.97,11.92
Metal products,1,2006,11.38,9.58,4.19,65.27,10.18
Metal products,2,2006,19.41,11.18,2.94,52.35,14.71
Metal products,3,2006,22.64,11.95,3.77,53.46,7.55
Metal products,4,2006,11.97,13.38,6.34,61.27,7.04
Metal products,1,2007,13.98,12.37,3.76,57.53,11.83
Metal products,2,2007,12.36,13.48,5.62,63.48,5.06
Metal products,3,2007,14.71,11.18,9.41,53.53,11.18
Metal products,4,2007,23.35,9.58,7.19,44.31,16.17
Metal products,1,2008,22.41,8.62,5.75,48.28,14.94
Metal products,2,2008,22.03,8.47,5.65,56.5,7.34
Metal products,3,2008,15.51,8.56,8.02,60.96,6.95
Metal products,4,2008,9.09,8.61,4.31,69.38,8.61
Metal products,1,2009,12.06,6.23,4.28,71.21,6.23
Metal products,2,2009,11.41,6.08,2.66,73.76,6.08
Metal products,3,2009,10.33,6.27,2.58,72.69,7.75
Metal products,4,2009,8.54,6.91,4.07,67.89,12.6
Metal products,1,2010,13.51,6.95,2.32,64.09,13.13
Metal products,2,2010,16.54,5.15,1.84,66.54,9.93
Metal products,3,2010,4.91,6.32,2.11,76.14,10.53
Metal products,4,2010,7.72,6.1,3.66,71.95,10.16
Metal products,1,2011,20.08,7.58,1.89,60.61,9.85
Metal products,2,2011,12.15,8.91,2.83,68.02,8.5
Metal products,3,2011,15.98,10.66,1.64,62.7,8.61
Metal products,4,2011,20.26,10.34,0.43,56.47,12.93
Metal products,1,2012,17.27,9.64,1.2,65.06,7.23
Metal products,2,2012,12.25,8.3,0.4,65.22,13.44
Metal products,3,2012,10.17,5.51,2.97,68.64,12.71
Metal products,4,2012,11.98,9.38,3.12,62.5,13.02
Metal products,1,2013,18.8,11.11,0.43,61.54,8.55
Metal products,2,2013,13.55,9.96,2.79,67.73,5.98
Metal products,3,2013,11.72,8.37,0.42,69.04,10.04
Metal products,4,2013,16.44,9.13,1.83,59.82,13.24
Metal products,1,2014,10.12,9.72,0.4,74.49,5.26
Metal products,2,2014,10.94,6.64,0.39,75.39,7.03
Metal products,3,2014,14.1,6.84,0.85,73.08,5.13
Metal products,4,2014,14.34,6.97,1.23,62.3,15.16
Metal products,1,2015,11.97,7.72,0.39,64.48,15.44
Metal products,2,2015,10.37,7.78,1.48,67.04,13.7
Metal products,3,2015,9.68,8.24,1.08,67.03,14.34
Metal products,4,2015,11.76,6.67,1.57,67.06,13.33
Metal products,1,2016,11.64,5.82,0.73,68.73,13.45
Metal products,2,2016,10.87,7.25,0.36,68.84,13.04
Metal products,3,2016,8.89,7.78,1.11,71.85,10.37
Metal products,4,2016,7.05,7.88,0.83,75.52,8.71
Metal products,1,2017,7.95,7.58,1.14,72.35,10.98
Metal products,2,2017,8.85,8.08,0.77,70.0,12.69
Metal products,3,2017,8.43,4.6,0.38,75.86,10.73
Metal products,4,2017,9.2,4.4,0.4,75.6,10.4
Metal products,1,2018,8.89,4.07,0.74,73.33,13.33
Metal products,2,2018,7.69,4.62,1.54,72.31,13.46
Metal products,3,2018,8.43,5.36,0.38,74.71,11.49
Metal products,4,2018,10.27,6.08,0.0,69.2,14.07
Metal products,1,2019,12.09,5.86,0.0,69.6,12.45
Metal products,2,2019,10.2,5.88,0.39,70.59,13.33
Metal products,3,2019,7.69,5.49,0.73,71.06,15.38
Metal products,4,2019,11.51,7.55,0.36,64.75,15.83
Metal products,1,2020,13.12,5.32,0.0,63.12,18.44
Metal products,2,2020,9.69,5.75,0.54,45.24,38.78
Metal products,3,2020,14.25,5.5,0.25,62.25,17.75
Metal products,4,2020,19.65,6.32,0.0,55.09,18.95
Metal products,1,2021,23.27,6.91,0.73,57.09,12.36
Metal products,2,2021,25.98,8.66,0.39,51.97,12.99
Metal products,3,2021,17.21,6.97,1.23,61.07,13.93
Metal products,4,2021,16.86,7.84,0.39,61.57,13.73
Machinery,4,2003,6.33,10.76,0.63,50.0,32.28
Machinery,1,2004,4.88,4.88,0.0,56.71,33.54
Machinery,2,2004,4.28,3.21,0.0,81.82,10.7
Machinery,3,2004,4.85,4.85,0.61,85.45,4.24
Machinery,4,2004,4.82,5.42,0.6,82.53,6.63
Machinery,1,2005,2.67,4.0,0.0,78.67,14.67
Machinery,2,2005,2.72,2.72,0.0,77.72,16.85
Machinery,3,2005,9.7,17.16,8.21,54.48,10.45
Machinery,4,2005,12.5,15.97,6.94,58.33,6.94
Machinery,1,2006,12.82,17.95,6.41,48.08,14.74
Machinery,2,2006,15.69,10.78,4.9,59.8,8.82
Machinery,3,2006,18.0,13.0,1.0,60.0,7.0
Machinery,4,2006,16.35,11.54,25.0,38.46,8.65
Machinery,1,2007,17.53,10.31,3.09,53.61,15.46
Machinery,2,2007,12.04,8.33,12.04,60.19,8.33
Machinery,3,2007,10.26,7.69,0.85,73.5,8.55
Machinery,4,2007,11.88,7.92,3.96,60.4,15.84
Machinery,1,2008,22.41,6.03,1.72,54.31,15.52
Machinery,2,2008,21.31,7.38,1.64,52.46,17.21
Machinery,3,2008,17.46,6.35,2.38,56.35,17.46
Machinery,4,2008,10.53,7.89,1.32,67.11,13.16
Machinery,1,2009,6.2,7.02,0.83,80.99,4.96
Machinery,2,2009,6.69,4.33,0.0,83.46,5.51
Machinery,3,2009,2.27,2.27,0.38,90.91,4.55
Machinery,4,2009,4.44,3.56,0.0,85.33,7.11
Machinery,1,2010,4.61,3.69,0.0,82.49,9.68
Machinery,2,2010,9.38,4.91,0.0,80.8,5.36
Machinery,3,2010,6.51,5.58,0.47,85.12,2.79
Machinery,4,2010,7.22,6.67,0.56,82.22,3.33
Machinery,1,2011,5.39,7.35,0.0,76.96,10.29
Machinery,2,2011,10.06,6.7,0.0,74.3,8.94
Machinery,3,2011,8.54,7.93,0.0,79.27,4.27
Machinery,4,2011,8.89,8.89,0.0,78.52,3.7
Machinery,1,2012,9.09,7.14,1.3,75.32,7.14
Machinery,2,2012,5.23,4.58,1.31,83.01,5.88
Machinery,3,2012,7.14,5.36,0.0,78.57,8.93
Machinery,4,2012,6.94,6.94,0.69,74.31,11.11
Machinery,1,2013,10.0,7.22,0.56,73.89,8.33
Machinery,2,2013,12.35,5.88,0.59,76.47,5.29
Machinery,3,2013,11.52,6.67,0.61,75.15,5.45
Machinery,4,2013,12.9,8.39,0.65,72.9,5.81
Machinery,1,2014,9.19,7.03,0.54,75.14,8.65
Machinery,2,2014,14.14,9.95,1.05,70.68,4.19
Machinery,3,2014,11.48,7.1,1.64,77.05,2.73
Machinery,4,2014,6.75,7.36,1.23,79.14,6.13
Machinery,1,2015,9.55,5.62,0.56,79.78,4.49
Machinery,2,2015,11.05,5.52,1.1,79.56,2.76
Machinery,3,2015,10.8,5.68,1.7,77.84,4.55
Machinery,4,2015,8.99,4.76,1.59,80.95,3.7
Machinery,1,2016,7.87,4.49,1.69,80.9,4.49
Machinery,2,2016,12.77,3.72,1.06,79.26,3.72
Machinery,3,2016,14.36,4.1,1.03,76.92,3.59
Machinery,4,2016,11.56,3.52,2.01,77.89,5.03
Machinery,1,2017,5.29,4.76,1.59,85.19,3.17
Machinery,2,2017,20.11,4.35,0.0,73.37,2.17
Machinery,3,2017,8.29,2.59,0.0,87.05,2.07
Machinery,4,2017,11.58,2.63,0.0,83.68,2.11
Machinery,1,2018,10.63,4.35,0.0,81.16,3.38
Machinery,2,2018,16.89,4.57,0.0,74.43,4.11
Machinery,3,2018,14.76,4.29,0.48,77.62,3.33
Machinery,4,2018,13.81,3.33,0.0,79.05,4.29
Machinery,1,2019,10.95,3.33,0.0,82.38,3.33
Machinery,2,2019,13.47,4.66,0.52,77.72,3.63
Machinery,3,2019,13.12,3.17,0.45,80.54,2.71
Machinery,4,2019,16.08,4.02,0.0,77.39,3.02
Machinery,1,2020,28.44,4.13,2.75,63.76,1.38
Machinery,2,2020,25.84,1.87,4.49,39.7,28.46
Machinery,3,2020,28.33,7.92,9.17,37.92,16.67
